,機關名稱,機關地址,Longitude,Latitude,類型
192,北投122號綠地,,121.50892639,25.113069534,公共活動空間
193,北投123號綠地,,121.503849,25.117135,公共活動空間
194,北投124號綠地,,121.506329,25.114865,公共活動空間
195,北投135號綠地,,121.51030731,25.111839294,公共活動空間
196,北投138號綠地,,121.50273895,25.114419937,公共活動空間
197,北投139號綠地,,121.50312805,25.115020752,公共活動空間
198,北投160號綠地,,121.496586,25.135316,公共活動空間
199,北投161號綠地 (田心仔綠地),,121.49492645,25.135139465,公共活動空間
200,北投164號綠地,,121.49597931,25.133449554,公共活動空間
201,北投165號綠地,,121.49623871,25.131759644,公共活動空間
202,北投166號綠地,,121.49687195,25.13051033,公共活動空間
203,北投167號綠地,,121.497707,25.128405,公共活動空間
204,北投168號綠地,,121.49919128,25.124370575,公共活動空間
205,北投169號綠地,,121.499533,25.12072,公共活動空間
206,北投181號一德綠地,,121.46476746,25.123939514,公共活動空間
207,北投182號綠地,,121.46772766,25.123399734,公共活動空間
208,北投183號綠地,,121.47186279,25.123010635,公共活動空間
209,北投185號綠地,,121.464987,25.123425,公共活動空間
210,北投186號綠地,,121.46652985,25.123029709,公共活動空間
211,北投187號綠地,,121.46829224,25.122909546,公共活動空間
212,北投188號綠地,,121.47055817,25.122749329,公共活動空間
213,北投191號綠地,,121.48084259,25.122489929,公共活動空間
214,北投192號綠地,,121.48091125,25.122089386,公共活動空間
215,北投203號綠地,,121.5031,25.12065,公共活動空間
216,北投257號綠地(承德3號),,121.512199,25.10442,公共活動空間
217,北投39號綠地,,121.462777,25.121984,公共活動空間
218,北投62號綠地,,121.503215,25.129382,公共活動空間
219,北投63號綠地,,121.50334167,25.127590179,公共活動空間
220,北投64號綠地,,121.503285,25.126383,公共活動空間
221,北投65號綠地,,121.50305176,25.124689102,公共活動空間
222,北投66號綠地,,121.50296021,25.123739243,公共活動空間
223,北投69號綠地,,121.51203918,25.126020432,公共活動空間
224,北投90號綠地,,121.52033234,25.118619919,公共活動空間
225,北投91號綠地,,121.52163696,25.119029999,公共活動空間
226,北投92號綠地,,121.52227783,25.119260788,公共活動空間
227,北投98號綠地,,121.51550293,25.115659714,公共活動空間
228,永和綠地,,121.52793121,25.127910614,公共活動空間
229,永欣綠地,,121.52695,25.12384,公共活動空間
230,安明綠地,,121.502133,25.135616,公共活動空間
231,奇岩4號綠地,,121.50554657,25.126039505,公共活動空間
232,忠義公園,,121.47792053,25.135019302,公共活動空間
233,承仙綠地,,121.50263214,25.119680405,公共活動空間
234,明德公園,,121.52098083,25.10725975,公共活動空間
235,林投坑(一)綠地,,121.48937225,25.136749268,公共活動空間
